선택지ID,경험치,평판,친구수,성장도,호감도,에너지,답변,반응말풍선
H_101,0,0,0,2,0,0,저는 확실히 엄마를 닮은것 같아요.,고민
H_102,0,2,0,0,0,0,평소에는 별로예요? ㅎㅎ 농담농담,감사
H_103,0,0,0,0,0,0,연하늘색을 좋아해요. 심플하고 예쁘죠.,기쁨
H_104,0,0,0,0,0,0,아메리카노나 라떼 추천해요\c 깔끔해요.,고민
H_105,0,0,0,2,3,0,음\c 다 좋아요.\n좋아하는 곡 있어요?,기쁨
H_106,0,-1,2,0,0,0,아무래도 예현이가 나이도 비슷하고 생각이 깊은 친구라 많이 얘기하죠.,기쁨
H_107,2,0,0,0,-1,0,술은 거의 마시지 않아요.,당황
H_108,0,0,0,0,-2,0,아직은 없어요\c 현재 머리 색이 좋아요.,기쁨
H_109,0,0,0,0,3,0,공예 작업에 관심이 많아요.\n마이튜브로 보면서 만들다보니 재밌더라구요.,기쁨
H_110,0,0,3,0,0,0,아니요\c 아직 너무 정신없고 바빠서 ㅎㅎ,당황
H_111,0,0,2,-2,0,0,스케줄 전 8시간 동안은 물도 잘 안마셔요.\n끝나고 물 마시고 과일 먹구,고민
H_112,0,0,2,0,0,0,블루투스 헤드폰!\n이어폰을 너무 자주 잃어버려서 헤드폰을 새로 샀어요.,당황
H_113,0,-1,0,0,0,0,어릴때 영국 유학을 3년 정도 했으니까\n영어는 자신있는 편이에요.,당황
H_114,0,0,3,0,2,0,한국무용하면서 장구랑 북같은것도 배웠어서\n국악기 조금 다룰 수 있어요,기쁨
H_115,1,1,0,0,0,0,저는 외동이에요. 그래서 부모님\c 저 이렇게 세 가족이랍니다.,기쁨
H_201,0,0,0,2,0,0,클래식 음악이 좋아요. 요즘은 현악 4중주 자주 들어요.,기쁨
H_202,0,2,0,0,0,0,다큐멘터리를 자주 보는것 같아요.,기쁨
H_203,0,0,0,0,0,0,자립심 관련 자기계발서 읽는 걸 좋아해요.,기쁨
H_204,0,0,0,0,0,0,심플한 스타일이라 무인양품 자주 입어요.,당황
H_205,0,0,0,2,3,0,양모 펠트나 보석 십자수 작업하면서 풀어요.,기쁨
H_206,0,-1,2,0,0,0,공예 작품 만드는 것에 많이 빠져 있어요.,기쁨
H_207,2,0,0,0,-1,0,프랑스 발레 공연 보러 가보고 싶어요.,기쁨
H_208,0,0,0,0,-2,0,가을이요. 차분하고 예술적인 분위기가 좋아요.,기쁨
H_209,0,0,0,0,3,0,클래식 연주곡 모음 듣는 걸 좋아해요.,고민
H_210,0,0,3,0,0,0,심플하고 깔끔한 스타일로 주로 입어요.,기쁨
H_211,0,0,1,0,0,3,조용한 분위기의 북카페를 추천해요.\n우드 인테리어가 편한것 같아요.,기쁨
H_212,2,0,0,0,2,0,베이킹에 관심이 생겼는데\c 장비가 필요해요.,슬픔
H_213,0,0,0,3,0,0,발레 동작이나 스트레칭을 주로 해요.,기쁨
H_214,0,0,0,3,0,0,해금 배우고 싶어요. 국악에 관심이 많아요.,기쁨
H_215,0,2,2,0,0,0,은은한 꽃 향기를 좋아해요\c 너무 강한 건 싫어요.,기쁨
H_301,0,0,0,0,3,0,진설이랑 자주 얘기해요. 리더다 보니 고민 상담도 자주 해요.,기쁨
H_302,0,0,3,0,0,0,회사랑은 잘 지내고 있어요. 피드백도 자주 주고받고요.,기쁨
H_303,0,0,1,0,0,3,싸우기보다는 서로 존중하려고 해요. 의견 차이 정도만 있죠.,고민
H_304,2,0,0,0,2,0,기억 하죠~ /player 맞죠?,고민
H_305,0,0,0,3,0,0,회사에서 지원은 잘해줘요. 우리 팀을 신경 써주고 있어요.,기쁨
H_306,0,0,0,2,1,0,제가 맏언니라 멤버들 챙기고 조언하는 역할이죠.,기쁨
H_307,0,2,2,0,0,0,대표님은 자주 뵙진 않지만 큰 행사나 미팅 때는 꼭 뵈요.,기쁨
H_308,0,0,0,0,3,0,매니저님이 저희 스케줄 관리 철저히 해줘서 신뢰가 가요.,기쁨
H_309,0,0,3,0,0,0,서로 대화를 많이 나누면서 자연스럽게 팀워크가 다져져요.,고민
H_310,0,0,1,0,0,3,아직 멤버들끼리 여행은 못 갔지만 꼭 가보고 싶어요.,기쁨
H_311,2,0,0,0,2,0,회사가 우리 의견을 많이 존중해줘서 자유롭게 활동해요.,기쁨
H_312,0,0,0,3,0,0,진설이랑은 연습생 때부터 자주 붙어있었어요. 믿음이 가요.,기쁨
H_313,0,-2,0,1,0,0,갈등은 거의 없어요. 서로 대화를 많이 나눠서 잘 풀어요.,당황
H_314,0,2,2,0,0,0,고민이 생기면 멤버들이랑 솔직하게 얘기해요. 좋은 팀이에요.,기쁨
H_315,0,0,0,0,3,0,연습실은 원하는 만큼 자주 쓰게 해줘서 연습에 부족함 없어요.,기쁨
