팬싸인회ID,하나선택지,예현선택지,진설선택지,신아선택지,보안선택지,선택지내용
Situ_02_01,H_101,Y_101,J_101,S_101,B_101,가족 중에 누구 닮았어요?
Situ_02_01,H_102,Y_102,J_102,S_102,B_102,오늘 메이크업 너무 예뻐요!
Situ_02_01,H_103,Y_103,J_103,S_103,B_103,제일 좋아하는 색이 뭐예요?
Situ_02_01,H_104,Y_104,J_104,S_104,B_104,카페 메뉴 추천해주세요!
Situ_02_01,H_105,Y_105,J_105,S_105,B_105,제일 좋아하는 수록곡이 뭐예요?
Situ_02_01,H_106,Y_106,J_106,S_106,B_106,제일 친한 멤버가 누구예요?
Situ_02_01,H_107,Y_107,J_107,S_107,B_107,주량이 어느 정도예요?
Situ_02_01,H_108,Y_108,J_108,S_108,B_108,염색 계획 없어요?
Situ_02_01,H_109,Y_109,J_109,S_109,B_109,요즘 관심사는 뭐예요?
Situ_02_01,H_110,Y_110,J_110,S_110,B_110,데뷔하고 친해진 아이돌 있어요?
Situ_02_01,H_111,Y_111,J_111,S_111,B_111,자기 관리 비법 있나요?
Situ_02_01,H_112,Y_112,J_112,S_112,B_112,가장 최근에 산 전자기기 뭐예요?
Situ_02_01,H_113,Y_113,J_113,S_113,B_113,잘하는 외국어 있어요?
Situ_02_01,H_114,Y_114,J_114,S_114,B_114,잘하는 악기 있어요?
Situ_02_01,H_115,Y_115,J_115,S_115,B_115,가족관계가 어떻게 돼요?
Situ_02_02,H_201,Y_201,J_201,S_201,B_201,요즘 즐겨 듣는 노래는 뭐예요?
Situ_02_02,H_202,Y_202,J_202,S_202,B_202,가장 좋아하는 영화 장르는 뭐예요?
Situ_02_02,H_203,Y_203,J_203,S_203,B_203,좋아하는 책이나 작가가 있나요?
Situ_02_02,H_204,Y_204,J_204,S_204,B_204,패션 브랜드 중에 제일 좋아하는 곳은?
Situ_02_02,H_205,Y_205,J_205,S_205,B_205,스트레스 풀 때 하는 활동이 있나요?
Situ_02_02,H_206,Y_206,J_206,S_206,B_206,요즘 빠져있는 취미가 있나요?
Situ_02_02,H_207,Y_207,J_207,S_207,B_207,가고 싶은 여행지가 있나요?
Situ_02_02,H_208,Y_208,J_208,S_208,B_208,가장 좋아하는 계절은 언제예요?
Situ_02_02,H_209,Y_209,J_209,S_209,B_209,요즘 자주 듣는 플레이리스트 있어요?
Situ_02_02,H_210,Y_210,J_210,S_210,B_210,촬영할 때 즐겨 입는 스타일은?
Situ_02_02,H_211,Y_211,J_211,S_211,B_211,추천해줄 카페나 음식점 있어요?
Situ_02_02,H_212,Y_212,J_212,S_212,B_212,요즘 제일 하고 싶은 취미는 뭐예요?
Situ_02_02,H_213,Y_213,J_213,S_213,B_213,운동 중에서 제일 좋아하는 건?
Situ_02_02,H_214,Y_214,J_214,S_214,B_214,꼭 배워보고 싶은 악기 있어요?
Situ_02_02,H_215,Y_215,J_215,S_215,B_215,좋아하는 향수나 향기는 무엇인가요?
Situ_02_03,H_301,Y_301,J_301,S_301,B_301,팀에서 제일 자주 대화하는 멤버는?
Situ_02_03,H_302,Y_302,J_302,S_302,B_302,회사와의 관계는 어떤가요?
Situ_02_03,H_303,Y_303,J_303,S_303,B_303,멤버들끼리 자주 싸우나요?
Situ_02_03,H_304,Y_304,J_304,S_304,B_304,제 이름 기억해요?
Situ_02_03,H_305,Y_305,J_305,S_305,B_305,회사에서 멤버들 지원 잘해주나요?
Situ_02_03,H_306,Y_306,J_306,S_306,B_306,팀에서 역할 분담은 어떻게 되나요?
Situ_02_03,H_307,Y_307,J_307,S_307,B_307,회사 대표님과 자주 만나나요?
Situ_02_03,H_308,Y_308,J_308,S_308,B_308,매니저님이랑 사이는 어때요?
Situ_02_03,H_309,Y_309,J_309,S_309,B_309,팀워크는 어떻게 다지나요?
Situ_02_03,H_310,Y_310,J_310,S_310,B_310,멤버들끼리 여행 가본 적 있나요?
Situ_02_03,H_311,Y_311,J_311,S_311,B_311,회사에서 자율성은 어느 정도예요?
Situ_02_03,H_312,Y_312,J_312,S_312,B_312,데뷔 전부터 친했던 멤버 있어요?
Situ_02_03,H_313,Y_313,J_313,S_313,B_313,회사와의 갈등은 없었나요?
Situ_02_03,H_314,Y_314,J_314,S_314,B_314,멤버들끼리 고민을 자주 나누나요?
Situ_02_03,H_315,Y_315,J_315,S_315,B_315,회사에서 연습실 자주 제공하나요?
