선택지ID,경험치,평판,친구수,성장도,호감도,에너지,답변,반응말풍선
J_101,0,0,0,2,0,0,음\c 제가 사실 세쌍둥이거든요?\n그래서 막내랑 제일 닮은것 같아요.,고민
J_102,0,2,0,0,0,0,고마워요.\n오늘은 블러셔를 조금 바꿔봤어요.\n잘 어울려요?,감사
J_103,0,0,3,0,2,0,저는 초록색이요! 자연을 좋아하거든요.\n항상 풀을 보면 마음이 편해져요.,기쁨
J_104,0,0,3,2,0,0,아포가토 어때요? 최근에 알게된 메뉴인데\n맛있어서 자주 먹게 되더라구요.,고민
J_105,0,0,0,2,0,0,저는 '귓속말'이요\n'내 맘다 숨기고 다가갈래' \n이 멜로디가 좋더라구요,기쁨
J_106,0,-1,2,0,0,0,글쎄요... 다 친해요 ㅎㅎ 그래도 예현언니랑 대화를 제일 많이 하죠.,기쁨
J_107,0,-2,3,0,0,0,어\c 아직 술을 많이 마셔 본 적은 없어요.\n아직 맥주 한 캔?,당황
J_108,0,3,2,2,0,0,다음 활동때는 바꿔볼까요?\n다음 팬싸때 오면 색 추천해주세요!,기쁨
J_109,0,0,3,0,2,0,스포츠! 축구와 풋살을 특히 좋아해요.,기쁨
J_110,0,3,2,0,0,0,아\c 지난번에 나간 예능에 같이 출연한 은정이랑 친해졌어요!,당황
J_111,0,0,0,0,-2,0,운동 꾸준히 하고\c 밥 잘 챙겨 먹어요.,기쁨
J_112,0,0,3,0,0,0,최근에 스마트워치를 새로 샀어요!,기쁨
J_113,0,-1,0,0,0,0,외국어는 아직 부족해요\c 배우는 중이에요.,고민
J_114,0,0,3,0,2,0,악기는 따로 배워본 적이 없어요. 기타 배워보고 싶긴해요!,기쁨
J_115,1,0,0,1,2,0,부모님과 쌍둥이 동생들이 있어요. 제가 세쌍둥이거든요.,기쁨
J_201,0,0,3,0,0,0,운동할 때 신나는 팝송 들어요.,기쁨
J_202,0,2,0,0,1,0,스포츠 영화 좋아해요. 리얼 스틸 재밌었어요.,기쁨
J_203,1,0,0,2,-2,0,자기계발서 읽는 걸 좋아해요.,당황
J_204,0,2,0,0,0,0,스포츠 브랜드 좋아해요. 나이키 자주 입어요.,기쁨
J_205,1,0,2,3,0,0,축구나 풋살 하면서 풀어요.,기쁨
J_206,0,0,2,0,1,0,요즘은 축구 말고도 요가에 빠졌어요.,기쁨
J_207,0,0,0,2,0,0,유럽 가서 축구 경기 보고 싶어요.,기쁨
J_208,0,0,2,0,0,1,여름이요! 운동하기 딱 좋아서요.,기쁨
J_209,0,0,0,2,3,0,신나는 댄스곡 많이 들어요!,기쁨
J_210,0,0,0,2,0,0,캐주얼하고 활동적인 옷이 좋아요,기쁨
J_211,0,0,3,0,0,0,운동 후에 프로틴 쉐이크 맛집 추천!,감사
J_212,0,2,0,0,1,0,다시 축구를 배우고 싶어요.,기쁨
J_213,1,0,0,0,0,2,축구와 풋살이 제일 좋아요.,기쁨
J_214,0,2,0,2,0,0,기타 배우고 싶어요!,고민
J_215,2,0,1,0,0,0,상큼한 시트러스 향이 좋아요.,기쁨
J_301,0,0,0,2,0,0,보안이랑 자주 얘기해요. 막내라서 잘 챙겨주려고 해요.,기쁨
J_302,0,0,2,0,0,1,회사랑의 관계는 신뢰가 있어요. 지원도 잘해주고요.,기쁨
J_303,0,-1,0,2,-3,0,가끔 의견 차이는 있지만 싸우기보단 바로 풀어요.,당황
J_304,0,0,0,2,-2,0,당연히 기억하죠! /player 잖아요!,당황
J_305,0,0,3,0,0,0,회사가 리더인 저를 많이 신경 써주고 멤버들 지원도 좋아요.,감사
J_306,0,2,0,0,1,0,저는 리더로서 멤버들 사이를 조율하고 이끄는 역할이에요.,기쁨
J_307,1,0,0,0,0,2,대표님은 중요한 미팅 때 뵈요. 리더로서 의견을 많이 들어주세요.,기쁨
J_308,0,2,0,2,0,0,매니저님이 꼼꼼하게 스케줄 챙겨줘서 믿음이 가요.,기쁨
J_309,2,0,1,0,0,0,서로의 장단점을 인정하고 대화 많이 하면서 팀워크를 다져요.,기쁨
J_310,0,0,0,2,0,0,멤버들이랑 여행은 아직 못 갔지만 계획 있으면 좋겠어요.,슬픔
J_311,0,0,2,0,0,1,회사에서 자율적으로 활동할 수 있게 배려해줘서 좋아요.,기쁨
J_312,0,0,0,2,3,0,보안이랑은 처음부터 친했어요. 막내라 챙길 일이 많죠.,기쁨
J_313,0,0,0,2,0,0,회사와 갈등은 거의 없어요. 리더로서 소통을 중요시해요.,기쁨
J_314,0,0,3,0,0,0,고민이 있으면 멤버들끼리 많이 나눠요. 리더로서 도와주려 해요.,기쁨
J_315,0,2,0,0,1,0,연습실은 자주 이용해요. 연습 환경은 정말 좋습니다.,기쁨
